index, exposure (ty), pp+Be, +N, +O, +pep
0, 1.0, 0.12399872177808476, 0.12399872177808476, 0.20615132581526616, 0.258753956320274
1, 1.0722672220103233, 0.13277301821643975, 0.13277301821643975, 0.21006805819766888, 0.2594894800239729
2, 1.1497569953977358, 0.14282006010795528, 0.14282006010795528, 0.21603505341348797, 0.262670115557912
3, 1.2328467394420661, 0.1540726111778274, 0.1540726111778274, 0.22395857824915544, 0.2681923909056676
4, 1.321941148466029, 0.1664644482326225, 0.1664644482326225, 0.23374737527543873, 0.27595696831163236
5, 1.4174741629268053, 0.1799303904538607, 0.1799303904538607, 0.24531264718734438, 0.28586843268080575
6, 1.5199110829529336, 0.1944063068574968, 0.1944063068574968, 0.25856807869613024, 0.29783521240653044
7, 1.6297508346206442, 0.20982909780405784, 0.20982909780405784, 0.2734298720360798, 0.31176959026557804
8, 1.7475284000076838, 0.22613664756354418, 0.22613664756354418, 0.28981677684125867, 0.3275877703862656
9, 1.8738174228603839, 0.2432677458550643, 0.2432677458550643, 0.30765009911365543, 0.3452099743806104
10, 2.0092330025650473, 0.26116197700924026, 0.26116197700924026, 0.32685367727385944, 0.36456054571665913
11, 2.154434690031884, 0.27975957596322776, 0.27975957596322776, 0.34735381588226316, 0.3855680463975019
12, 2.3101297000831598, 0.29900125072030986, 0.29900125072030986, 0.3690791695686489, 0.408165334075205
13, 2.4770763559917106, 0.31882797121918005, 0.31882797121918005, 0.39196057104286336, 0.43228961090900636
14, 2.6560877829466865, 0.3391807247965409, 0.3391807247965409, 0.41593079781757375, 0.45788243781733945
15, 2.848035868435802, 0.3600002386279805, 0.3600002386279805, 0.4409242724998723, 0.4848897093065626
16, 3.0538555088334154, 0.38077877641548785, 0.38122666973682506, 0.46687669125006115, 0.51326158481126
17, 3.2745491628777286, 0.397035076267865, 0.40279926341265665, 0.4937245743155871, 0.5429523724630624
18, 3.511191734215131, 0.41319829157769467, 0.4246559812277831, 0.5214047314832365, 0.5739203604062155
