index, x, y
0, 0.28254437869822485, 0.47527868836052095
1, 0.2855029585798816, 0.4760016919898941
2, 0.2856937381823994, 0.47633136094674555
3, 0.2855029585798816, 0.4770568853403295
4, 0.28473504286861917, 0.4822485207100592
5, 0.28254437869822485, 0.4870068426293819
6, 0.2820727405714841, 0.4881656804733728
7, 0.27958579881656803, 0.49322859624458226
8, 0.27930140307686574, 0.49408284023668636
9, 0.27662721893491127, 0.4996075316092767
10, 0.27642672665069634, 0.5
11, 0.27366863905325445, 0.50496047901532
12, 0.27321406551566024, 0.5059171597633136
13, 0.27071005917159763, 0.5104807848511809
14, 0.27000735398774367, 0.5118343195266272
15, 0.2677514792899408, 0.5159702972622396
16, 0.26677562679789507, 0.5177514792899408
17, 0.264792899408284, 0.5213154154396002
18, 0.26350564642626073, 0.5236686390532544
19, 0.2618343195266272, 0.5267204790520504
20, 0.2601094732898095, 0.529585798816568
21, 0.2588757396449704, 0.5317006707559375
22, 0.25657400969732735, 0.5355029585798816
23, 0.2559171597633136, 0.5367125490133176
24, 0.2532184112881395, 0.5414201183431953
25, 0.2529585798816568, 0.5418875749801364
26, 0.25, 0.5466023812130082
27, 0.24956256151884343, 0.5473372781065089
28, 0.24704142011834318, 0.5518853073681932
29, 0.24622201341175276, 0.5532544378698225
30, 0.24408284023668636, 0.5570844435040836
31, 0.24285494762907328, 0.5591715976331361
32, 0.2411242603550296, 0.5622946408408093
33, 0.2393886854402682, 0.5650887573964497
34, 0.23816568047337278, 0.5672402948835988
35, 0.23569523769861422, 0.5710059171597632
36, 0.23520710059171596, 0.5718869180770841
37, 0.2323109193712107, 0.5769230769230769
38, 0.23224852071005916, 0.5770358272693464
39, 0.22928994082840237, 0.5822995552849424
40, 0.22895359628312426, 0.5828402366863905
41, 0.22633136094674555, 0.5876691178586304
42, 0.22563220721829824, 0.5887573964497042
43, 0.22337278106508873, 0.5923863670574545
44, 0.2218755562728265, 0.5946745562130178
45, 0.22041420118343197, 0.5973074640061926
46, 0.21843804049115123, 0.6005917159763313
47, 0.21745562130177515, 0.60229184441094
48, 0.21466311677152922, 0.6065088757396451
49, 0.21449704142011833, 0.6068088625325768
50, 0.21153846153846154, 0.6123748952865574
51, 0.2115054506239387, 0.6124260355029586
52, 0.20857988165680474, 0.6171352853904497
53, 0.20779298593361684, 0.6183431952662721
54, 0.20562130177514792, 0.6221710567649192
55, 0.20418603693375914, 0.6242603550295858
56, 0.2026627218934911, 0.6265748611247202
57, 0.19981580829134873, 0.6301775147928994
58, 0.19970414201183434, 0.6303484393016037
59, 0.19674556213017755, 0.6318130861259729
60, 0.19617156972636252, 0.6301775147928994
61, 0.19674556213017752, 0.6262091225535544
62, 0.1969976379989635, 0.6242603550295858
63, 0.19850918377532656, 0.6183431952662721
64, 0.19970414201183434, 0.6140074980437067
65, 0.20010883085496234, 0.6124260355029586
66, 0.20222261165178107, 0.606508875739645
67, 0.2026627218934911, 0.6053243219485698
68, 0.20449807182932225, 0.6005917159763313
69, 0.20562130177514792, 0.5979892662594739
70, 0.2068867783626348, 0.5946745562130178
71, 0.20857988165680474, 0.5910328531076504
72, 0.2095228786860825, 0.5887573964497042
73, 0.21153846153846154, 0.584508526121249
74, 0.21236905278808643, 0.5828402366863905
75, 0.21449704142011833, 0.5781655024816069
76, 0.21499047949262612, 0.5769230769230769
77, 0.21745562130177515, 0.5719124929147965
78, 0.21787727836550147, 0.5710059171597632
79, 0.22041420118343197, 0.5657096731897157
80, 0.2206846861287937, 0.5650887573964497
81, 0.22337278106508873, 0.5594322952924166
82, 0.2234995573646623, 0.5591715976331361
83, 0.22633136094674555, 0.5537782670245212
84, 0.22663191757852538, 0.5532544378698225
85, 0.22928994082840237, 0.5484665162761574
86, 0.22982803194857668, 0.5473372781065089
87, 0.23224852071005916, 0.5426693718508293
88, 0.232997696250033, 0.5414201183431953
89, 0.23520710059171596, 0.5375579589470021
90, 0.2363272728992842, 0.5355029585798816
91, 0.23816568047337278, 0.5322473769114957
92, 0.23990543093708802, 0.529585798816568
93, 0.2411242603550296, 0.5274789027424539
94, 0.24367045125679776, 0.5236686390532544
95, 0.24408284023668636, 0.52298953990624
96, 0.24704142011834318, 0.518145945826879
97, 0.24731221121834845, 0.5177514792899408
98, 0.25, 0.5136230299601442
99, 0.25126745233846043, 0.5118343195266272
100, 0.2529585798816568, 0.5091362207355061
101, 0.25539451947070924, 0.5059171597633136
102, 0.2559171597633136, 0.5051004346333214
103, 0.2588757396449704, 0.5010138170675086
104, 0.25977099462528064, 0.5
105, 0.2618343195266272, 0.4971566896760794
106, 0.26422113515591056, 0.49408284023668636
107, 0.264792899408284, 0.49323904001231367
108, 0.2677514792899408, 0.48959305837355727
109, 0.2691208907512265, 0.4881656804733727
110, 0.27071005917159763, 0.4860969801144865
111, 0.27366863905325445, 0.4825440297186451
112, 0.27396068301730697, 0.4822485207100592
113, 0.27662721893491127, 0.479523697988239
114, 0.27958579881656803, 0.4774311642127571
115, 0.2811303450813659, 0.47633136094674555
116, 0.28254437869822485, 0.47527868836052095
