index, exposure (ty), pp, 7Be, 13N, 15O, pep
3068, 614.1090218043609, 0.08280798137546368, 0.85694834562722, 15.349707891546338, 18.787740441165806, 27.433412701311465
3069, 614.3088617723545, 0.08279146420495065, 0.8568089083620349, 15.347549982020665, 18.785169184047202, 27.429556037956278
3070, 614.508701740348, 0.08277495600948058, 0.8566695391507815, 15.345393094830545, 18.782599134983997, 27.42570114668662
3071, 614.7085417083416, 0.08275845678118411, 0.856530237938111, 15.343237229151235, 18.780030293006618, 27.421848026123474
3072, 614.9083816763352, 0.08274196651220136, 0.8563910046687391, 15.341082384158941, 18.77746265714662, 27.417996674889345
3073, 615.1082216443289, 0.082725485194682, 0.8562518392874434, 15.338928559030803, 18.774896226436628, 27.41414709160824
3074, 615.3080616123225, 0.08270901282078512, 0.8561127417390655, 15.3367757529449, 18.772330999910377, 27.410299274905668
3075, 615.507901580316, 0.0826925493826793, 0.8559737119685088, 15.334623965080246, 18.769766976602707, 27.40645322340866
3076, 615.7077415483096, 0.0826760948725425, 0.8558347499207394, 15.332473194616789, 18.76720415554953, 27.402608935745736
3077, 615.9075815163033, 0.08265964928256218, 0.8556958555407864, 15.330323440735405, 18.764642535787864, 27.398766410546926
3078, 616.1074214842969, 0.08264321260493517, 0.8555570287737407, 15.328174702617908, 18.76208211635582, 27.394925646443756
3079, 616.3072614522904, 0.0826267848318677, 0.8554182695647563, 15.326026979447038, 18.759522896292598, 27.391086642069258
3080, 616.507101420284, 0.08261036595557535, 0.855279577859049, 15.32388027040647, 18.756964874638474, 27.38724939605794
3081, 616.7069413882776, 0.08259395596828314, 0.8551409536018968, 15.3217345746808, 18.754408050434822, 27.383413907045817
3082, 616.9067813562713, 0.08257755486222541, 0.8550023967386401, 15.319589891455553, 18.7518524227241, 27.37958017367039
3083, 617.1066213242648, 0.08256116262964583, 0.854863907214681, 15.317446219917178, 18.749297990549845, 27.37574819457067
3084, 617.3064612922584, 0.0825447792627974, 0.8547254849754838, 15.315303559253044, 18.746744752956673, 27.371917968387123
3085, 617.506301260252, 0.08252840475394241, 0.854587129966574, 15.313161908651447, 18.744192708990287, 27.368089493761715
3086, 617.7061412282457, 0.08251203909535249, 0.8544488421335398, 15.3110212673016, 18.74164185769746, 27.364262769337895
3087, 617.9059811962392, 0.08249568227930851, 0.8543106214220305, 15.308881634393643, 18.739092198126052, 27.36043779376059
3088, 618.1058211642328, 0.08247933429810066, 0.8541724677777564, 15.30674300911862, 18.73654372932499, 27.356614565676207
3089, 618.3056611322264, 0.08246299514402829, 0.8540343811464903, 15.304605390668502, 18.733996450344268, 27.352793083732628
3090, 618.50550110022, 0.08244666480940012, 0.8538963614740658, 15.302468778236172, 18.731450360234977, 27.34897334657922
3091, 618.7053410682137, 0.082430343286534, 0.8537584087063779, 15.300333171015435, 18.72890545804925, 27.3451553528668
3092, 618.9051810362072, 0.08241403056775701, 0.853620522789383, 15.298198568200993, 18.726361742840304, 27.34133910124768
3093, 619.1050210042008, 0.08239772664540543, 0.8534827036690978, 15.296064968988468, 18.723819213662416, 27.337524590375615
3094, 619.3048609721944, 0.08238143151182474, 0.8533449512916012, 15.293932372574396, 18.72127786957094, 27.333711818905854
3095, 619.5047009401881, 0.08236514515936959, 0.8532072656030322, 15.291800778156208, 18.718737709622282, 27.32990078549508
3096, 619.7045409081816, 0.08234886758040377, 0.853069646549591, 15.289670184932264, 18.716198732873917, 27.326091488801467
3097, 619.9043808761752, 0.08233259876730019, 0.8529320940775381, 15.287540592101804, 18.71366093838438, 27.32228392748463
3098, 620.1042208441688, 0.08231633871244094, 0.8527946081331955, 15.285411998864992, 18.711124325213262, 27.318478100205645
3099, 620.3040608121624, 0.0823000874082172, 0.8526571886629449, 15.283284404422886, 18.70858889242122, 27.314674005627054
3100, 620.503900780156, 0.08228384484702922, 0.8525198356132292, 15.281157807977456, 18.706054639069958, 27.31087164241284
3101, 620.7037407481496, 0.0822676110212864, 0.8523825489305508, 15.279032208731556, 18.703521564222235, 27.30707100922844
3102, 620.9035807161432, 0.08225138592340714, 0.8522453285614734, 15.276907605888951, 18.70098966694188, 27.303272104740746
3103, 621.1034206841368, 0.08223516954581893, 0.8521081744526202, 15.274783998654307, 18.69845894629375, 27.2994749276181
3104, 621.3032606521303, 0.08221896188095836, 0.8519710865506753, 15.272661386233175, 18.69592940134377, 27.29567947653027
3105, 621.503100620124, 0.08220276292127093, 0.851834064802382, 15.270539767832005, 18.693401031158906, 27.291885750148502
3106, 621.7029405881176, 0.08218657265921127, 0.8516971091545441, 15.268419142658157, 18.69087383480717, 27.288093747145453
3107, 621.9027805561112, 0.08217039108724299, 0.8515602195540252, 15.266299509919856, 18.688347811357623, 27.28430346619523
3108, 622.1026205241047, 0.08215421819783861, 0.8514233959477483, 15.264180868826246, 18.685822959880376, 27.280514905973384
3109, 622.3024604920984, 0.08213805398347972, 0.8512866382826966, 15.262063218587338, 18.68329927944657, 27.27672806515689
3110, 622.502300460092, 0.08212189843665683, 0.8511499465059126, 15.259946558414045, 18.68077676912839, 27.272942942424173
3111, 622.7021404280856, 0.0821057515498694, 0.8510133205644989, 15.257830887518164, 18.678255427999073, 27.269159536455064
3112, 622.9019803960792, 0.08208961331562586, 0.8508767604056164, 15.255716205112385, 18.67573525513288, 27.26537784593085
3113, 623.1018203640728, 0.08207348372644355, 0.8507402659764869, 15.253602510410271, 18.673216249605122, 27.261597869534228
3114, 623.3016603320664, 0.08205736277484862, 0.8506038372243903, 15.251489802626278, 18.670698410492122, 27.25781960594933
3115, 623.50150030006, 0.08204125045337626, 0.8504674740966657, 15.24937808097574, 18.668181736871265, 27.254043053861704
3116, 623.7013402680536, 0.08202514675457048, 0.8503311765407118, 15.247267344674873, 18.665666227820946, 27.250268211958335
3117, 623.9011802360471, 0.08200905167098413, 0.8501949445039866, 15.245157592940775, 18.66315188242061, 27.24649507892761
3118, 624.1010202040408, 0.08199296519517894, 0.850058777934006, 15.243048824991417, 18.66063869975071, 27.24272365345933
3119, 624.3008601720344, 0.08197688731972554, 0.8499226767783455, 15.240941040045655, 18.658126678892746, 27.238953934244737
3120, 624.500700140028, 0.08196081803720325, 0.8497866409846394, 15.238834237323221, 18.655615818929228, 27.235185919976455
3121, 624.7005401080215, 0.08194475734020033, 0.8496506705005804, 15.236728416044713, 18.653106118943704, 27.231419609348563
