index, exposure (ty), pp+Be, +N, +O, +pep
0, 1.0, 0.06186973822950899, 0.06186973822950899, 0.1989720512130036, 0.24909715492882167
1, 1.0722672220103233, 0.04245710552179407, 0.04245710552179407, 0.19707018777899993, 0.24292019904772832
2, 1.1497569953977358, 0.04245710552179407, 0.04245710552179407, 0.19570082036727224, 0.23809729408641336
3, 1.2328467394420661, 0.04245710552179407, 0.04245710552179407, 0.1948736759984709, 0.2345987631793547
4, 1.321941148466029, 0.04245710552179407, 0.04245710552179407, 0.19459865003476098, 0.23239643419042183
5, 1.4174741629268053, 0.04245710552179407, 0.04245710552179407, 0.19488581316891365, 0.23146345755806466
6, 1.5199110829529336, 0.04324495626441791, 0.04324495626441791, 0.19574542114277452, 0.23177416911549167
7, 1.6297508346206442, 0.04544513272267388, 0.04544513272267388, 0.19718792754314016, 0.23330399207055375
8, 1.7475284000076838, 0.04899632616802398, 0.04899632616802398, 0.19922400005556956, 0.23602937316408257
9, 1.8738174228603839, 0.053837516090521155, 0.053837516090521155, 0.20186454059313763, 0.23992774871940176
10, 2.0092330025650473, 0.0599080153871793, 0.0599080153871793, 0.2051207097585654, 0.244977536889748
11, 2.154434690031884, 0.06714753035211489, 0.06714753035211489, 0.20900395614571443, 0.2511581529347161
12, 2.3101297000831598, 0.07549622677824681, 0.07549622677824681, 0.2135260510415604, 0.25845004483453465
13, 2.4770763559917106, 0.08489479485432236, 0.08489479485432236, 0.2186991291542696, 0.26683474699946386
14, 2.6560877829466865, 0.09445056907038045, 0.09445056907038045, 0.22453573606906171, 0.2762949502643268
15, 2.848035868435802, 0.1031832157818672, 0.1031832157818672, 0.23104888322389766, 0.28681458678588995
16, 3.0538555088334154, 0.11269875624143044, 0.11269875624143044, 0.23825211130495702, 0.2983789288925
17, 3.2745491628777286, 0.1229742839488228, 0.1229742839488228, 0.24615956309150794, 0.3109747013793398
18, 3.511191734215131, 0.13398742411561235, 0.13398742411561235, 0.2547860669362083, 0.3245902072073781
