index, exposure (ty), pp, 7Be, 13N, 15O, pep, v capture
0, 1.0, 8.249419750644371, 16.551853035889902, nan, nan, nan, nan
1, 1.1998399679935987, 6.946743650711909, 14.44027701203266, nan, nan, nan, nan
2, 1.3996799359871974, 6.018850744098412, 12.838617920284312, nan, nan, nan, nan
3, 1.5995199039807961, 5.322672704979905, 11.583516685566112, nan, nan, nan, nan
4, 1.7993598719743948, 4.780052823656304, 10.574275441794132, nan, nan, nan, nan
5, 1.9991998399679936, 4.344599190178349, 9.745513431361669, nan, nan, nan, nan
6, 2.1990398079615923, 3.9869948582991483, 9.052987200630106, nan, nan, nan, nan
7, 2.3988797759551908, 3.687782358512455, 8.465724154958558, nan, nan, nan, nan
8, 2.5987197439487897, 3.433528097151231, 7.961417494529502, nan, nan, nan, nan
9, 2.7985597119423886, 3.2146512962622373, 7.523608670878429, nan, nan, nan, nan
10, 2.998399679935987, 3.024130563179752, 7.139898388890186, nan, nan, nan, nan
11, 3.1982396479295856, 2.8566997904641043, 6.8007741304794695, nan, nan, nan, nan
12, 3.3980796159231845, 2.7083299306898256, 6.498820373538654, nan, nan, nan, nan
13, 3.5979195839167835, 2.575884538895072, 6.228173670309044, nan, nan, nan, nan
14, 3.797759551910382, 2.4568846034064555, 5.9841386108456875, nan, nan, nan, nan
15, 3.9975995199039804, 2.349344181468727, 5.76291200994005, nan, nan, nan, nan
16, 4.197439487897579, 2.2516531179970354, 5.561381435310349, nan, nan, nan, nan
17, 4.397279455891178, 2.1624918037986234, 5.3769757728833145, nan, nan, nan, nan
18, 4.597119423884777, 2.0807681894116374, 5.2075528414577406, nan, nan, nan, nan
19, 4.796959391878375, 2.0055705465047207, 5.051313796335098, nan, nan, nan, nan
20, 4.996799359871974, 1.9361315591802066, 4.906737177916084, nan, nan, nan, nan
21, 5.196639327865573, 1.8718006910348972, 4.7725275536568175, nan, nan, nan, nan
22, 5.396479295859171, 1.8120226810427975, 4.647575130336409, nan, nan, nan, nan
23, 5.59631926385277, 1.7563206359385477, 4.530923704016418, nan, nan, nan, nan
24, 5.796159231846369, 1.7042826101005584, 4.4217450115346235, nan, nan, nan, nan
25, 5.995999199839968, 1.6555508599506177, 4.319318043576555, nan, nan, nan, nan
26, 6.195839167833567, 1.6098131697951077, 4.223012237212022, nan, nan, nan, nan
27, 6.395679135827165, 1.566795796813546, 4.132273726781968, nan, nan, nan, nan
28, 6.595519103820764, 1.5262576925117726, 4.046614024400848, nan, nan, nan, nan
29, 6.795359071814363, 1.4879857385314998, 3.965600644546637, nan, nan, nan, nan
30, 6.995199039807961, 1.4517907945546633, 3.8888492948026507, nan, nan, nan, nan
31, 7.19503900780156, 1.417504400924843, 3.816017336354708, nan, nan, nan, nan
32, 7.394878975795159, 1.3849760125768178, 3.746798280148816, nan, nan, nan, nan
33, 7.594718943788758, 1.3540706667931948, 3.6809171325854653, nan, nan, nan, nan
34, 7.794558911782357, 1.324667007256595, 3.618126441832678, nan, nan, nan, nan
35, 7.994398879775955, 1.2966556023316869, 3.5582029248961566, nan, nan, nan, nan
36, 8.194238847769554, 1.2699375075869148, 3.5009445784247237, nan, nan, nan, nan
37, 8.394078815763152, 1.2444230320578658, 3.446168194294226, nan, nan, nan, nan
38, 8.59391878375675, 1.2200306752633, 3.3937072153854606, nan, nan, nan, nan
39, 8.79375875175035, 1.196686207961206, 3.343409878470556, nan, nan, nan, nan
40, 8.993598719743948, 1.1743218744160695, 3.2951376003710746, nan, nan, nan, nan
41, 9.193438687737547, 1.1528756977987495, 3.2487635710282263, nan, nan, nan, nan
42, 9.393278655731146, 1.1322908734553192, 3.2041715231995984, nan, nan, nan, nan
43, 9.593118623724745, 1.1125152373138114, 3.1612546534540735, nan, nan, nan, nan
44, 9.792958591718342, 1.093500798766686, 3.1199146732003653, nan, nan, nan, nan
45, 9.992798559711941, 1.0752033290645318, 3.0800609718300547, nan, nan, nan, nan
46, 10.19263852770554, 1.0575819976556586, 3.041609876821436, nan, nan, nan, nan
47, 10.39247849569914, 1.0405990500640812, 3.0044839979452753, nan, nan, nan, nan
48, 10.592318463692738, 1.024219521860405, 2.968611644625126, nan, nan, nan, nan
49, 10.792158431686337, 1.0084109840823945, 2.9339263071027646, nan, nan, nan, nan
50, 10.991998399679936, 0.9931433161335546, 2.9003661933997926, nan, nan, nan, nan
51, 11.191838367673535, 0.9783885027521357, 2.867873815194671, nan, nan, nan, nan
52, 11.391678335667134, 0.9641204521183663, 2.8363956166871054, nan, nan, nan, nan
53, 11.591518303660731, 0.9503148325696872, 2.805881641328586, nan, nan, nan, nan
54, 11.79135827165433, 0.9369489257347016, 2.776285231983384, nan, nan, nan, nan
55, 11.991198239647929, 0.9240014941865868, 2.747562760668285, nan, nan, nan, nan
56, 12.191038207641528, 0.9114526619641785, 2.7196733845183254, nan, nan, nan, nan
57, 12.390878175635127, 0.899283806520652, 2.692578825053208, nan, nan, nan, nan
58, 12.590718143628726, 0.8874774608413568, 2.666243168186194, nan, nan, nan, nan
59, 12.790558111622325, 0.8760172246285783, 2.6406326827333824, nan, nan, nan, nan
60, 12.990398079615922, 0.8648876835857158, 2.615715655454101, nan, nan, nan, nan
61, 13.19023804760952, 0.8540743359497911, 2.5914622408892285, nan, nan, nan, nan
62, 13.39007801560312, 0.8435635255221098, 2.567844324468938, nan, nan, nan, nan
63, 13.589917983596719, 0.8333423805344832, 2.544835397539267, nan, nan, nan, nan
64, 13.789757951590317, 0.8233987577646864, 2.5224104431118715, nan, nan, nan, nan
65, 13.989597919583916, 0.8137211913813218, 2.500545831276523, nan, nan, nan, nan
66, 14.189437887577515, 0.8042988460563835, 2.479219223334209, nan, nan, nan, nan
67, 14.389277855571114, 0.7951214739347237, 2.458409483812286, nan, nan, nan, nan
68, 14.589117823564713, 0.7861793750942826, 2.4380965996141453, nan, nan, nan, nan
69, 14.78895779155831, 0.7774633611702182, 2.418261605635851, nan, nan, nan, nan
70, 14.98879775955191, 0.7689647218506518, 2.39888651625272, nan, nan, nan, nan
71, 15.188637727545508, 0.7606751939822668, 2.3799542621410628, nan, nan, nan, nan
72, 15.388477695539107, 0.752586933050968, 2.361448631955323, nan, nan, nan, nan
73, 15.588317663532706, 0.7446924868266902, 2.3433542184295932, nan, nan, nan, nan
74, 15.788157631526305, 0.7369847709826278, 2.325656368515729, nan, nan, nan, nan
75, 15.987997599519904, 0.7294570465179641, 2.308341137208674, nan, nan, nan, nan
76, 16.1878375675135, 0.7221028988299193, 2.291395244743832, nan, nan, nan, nan
77, 16.387677535507102, 0.7149162182958481, 2.2748060368817438, nan, nan, nan, nan
78, 16.5875175035007, 0.7078911822394235, 2.2585614480225438, nan, nan, nan, nan
79, 16.787357471494296, 0.7010222381668358, 2.242649966916966, nan, nan, nan, nan
80, 16.987197439487897, 0.6943040881695752, 2.2270606047624057, nan, nan, nan, nan
81, 17.187037407481494, 0.6877316743999048, 2.2117828654920624, nan, nan, nan, nan
82, 17.386877375475095, 0.6813001655336833, 2.1968067180826485, nan, nan, nan, nan
83, 17.586717343468692, 0.6750049441428897, 2.182122570721896, nan, nan, nan, nan
84, 17.786557311462293, 0.6688415949071101, 2.1677212466912192, nan, nan, nan, nan
85, 17.98639727945589, 0.6628058935994879, 2.1535939618316324, nan, nan, nan, nan
86, 18.18623724744949, 0.6568937967882442, 2.1397323034725138, nan, nan, nan, nan
87, 18.386077215443088, 0.6511014321999592, 2.126128210713189, nan, nan, nan, nan
88, 18.585917183436685, 0.6454250896953817, 2.112773955956657, nan, nan, nan, nan
89, 18.785757151430285, 0.6398612128126931, 2.0996621276033154, nan, nan, nan, nan
90, 18.985597119423883, 0.634406390836902, 2.086785613820185, nan, nan, nan, nan
91, 19.185437087417483, 0.6290573513574639, 2.0741375873081416, nan, nan, nan, nan
92, 19.38527705541108, 0.6238109532793156, 2.0617114909959806, nan, nan, nan, nan
93, 19.58511702340468, 0.6186641802553204, 2.0495010245958913, nan, nan, nan, nan
94, 19.78495699139828, 0.6136141345106937, 2.037500131960183, nan, nan, nan, nan
95, 19.98479695939188, 0.6086580310322972, 2.025702989183823, nan, nan, nan, nan
96, 20.184636927385476, 0.6037931920978264, 2.0141039934017564, nan, nan, nan, nan
97, 20.384476895379073, 0.5990170421218479, 2.002697752233885, nan, nan, nan, nan
98, 20.584316863372674, 0.5943271027974196, 1.9914790738342503, nan, nan, nan, nan
99, 20.78415683136627, 0.5897209885136447, 1.9804429575042586, nan, nan, nan, nan
100, 20.983996799359872, 0.585196402030992, 1.9695845848328077, nan, nan, nan, nan
101, 21.18383676735347, 0.5807511303975729, 1.9588993113289748, nan, nan, nan, nan
102, 21.38367673534707, 0.5763830410908085, 1.9483826585154427, nan, nan, nan, nan
